Title,URL,Sentence,Label,Score
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"If you were paying attention back then, you don't need to be told this, but for those who were not: Late October 2008 was an incredibly ugly time in money, markets and finance.",Systemic_Risk_Management,0.7375752925872803
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Major firms, most famously Lehman Brothers, had just collapsed or required bailouts.",Systemic_Risk_Management,0.894206166267395
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Many others were teetering, and the stock market was tanking.",Systemic_Risk_Management,0.46663224697113037
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,Governments and central banks were trying to contain the catastrophe.,Systemic_Risk_Management,0.7533842921257019
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"And I wasn't sleeping well, tangled up in covering the carnage at Bloomberg News.",Systemic_Risk_Management,0.20142225921154022
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Oct. 31, 2008, is also when the Bitcoin white paper came out – now 15 years ago to the day.",Competitive_Behavior,0.35718584060668945
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Ensconced in traditional finance, I didn't notice the cryptocurrency revolution had begun, nor had the rest of what we now call TradFi; the financial system appeared to be burning down, after all – we were busy.",Systemic_Risk_Management,0.8074319958686829
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Satoshi Nakamoto's paper didn't explicitly say: The world needs a peer-to-peer system to move money around to replace Wall Street giants because they can't be trusted, they're falling apart, etc.",Systemic_Risk_Management,0.6308199167251587
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,But that was the vibe as folks picked up on the idea and made the Bitcoin blockchain and bitcoin (BTC) the cryptocurrency real.,Systemic_Risk_Management,0.34598875045776367
"On Bitcoin White Paper's 15th Anniversary, Wall Street Threatens to Swallow Its One-Time Challenger",https://www.coindesk.com/business/2023/10/31/on-bitcoin-white-papers-15th-anniversary-wall-street-threatens-to-swallow-its-one-time-challenger/,"Bitcoin got switched on, BTC started getting mined and stuff started happening – small stuff at first.",Data_Security,0.4022272229194641
